1.01884	0	5360
1.04156	5360	5896
1.04628	5896	6432
1.051	6432	6968
1.05572	6968	7504
1.06044	7504	8040
1.06516	8040	8576
1.06988	8576	9112
1.0746	9112	9648
1.07932	9648	10184
1.08404	10184	10720
1.08876	10720	11256
1.09348	11256	11792
1.0982	11792	12328
1.10292	12328	12864
1.10764	12864	13400
1.11236	13400	13936
1.11708	13936	14472
1.1218	14472	15008
1.12652	15008	15544
1.13124	15544	16080
1.13596	16080	16616
1.14068	16616	17152
1.1454	17152	17688
1.15012	17688	18224
1.15507	18224	18760
1.15979	18760	19296
1.16451	19296	19832
1.16923	19832	20368
1.17395	20368	20904
1.17867	20904	21440
1.18339	21440	21976
1.18811	21976	22512
1.19283	22512	22524
1.19755	22524	22536
1.20227	22536	22548
1.20699	22548	22560
1.21171	22560	22572
1.21643	22572	22584
1.22115	22584	22596
1.22609	22596	22608
1.23317	22608	22620
1.2493	22620	22632
1.26321	22632	22644
1.26793	22644	22656
1.27265	22656	22668
1.27737	22668	22680
1.28209	22680	22692
1.28681	22692	22704
1.29153	22704	22716
1.29625	22716	22728
1.30097	22728	22740
1.30569	22740	22752
1.31041	22752	22764
1.31513	22764	22776
1.31985	22776	22788
1.3248	22788	22800
1.32952	22800	22812
1.33424	22812	22824
1.33896	22824	22836
1.34368	22836	22848
1.3484	22848	22860
1.35784	22860	22872
1.37672	22872	22884
1.3956	22884	22896
1.40032	22896	22908
1.40504	22908	22920
1.40976	22920	22932
1.41448	22932	22944
1.4192	22944	22956
1.42392	22956	22968
1.42864	22968	22980
1.43359	22980	22992
1.43831	22992	23004
1.44303	23004	23016
1.44775	23016	23028
1.45269	23028	23040
1.47118	23040	23052
1.48509	23052	23064
1.48981	23064	23076
1.49453	23076	23088
1.49925	23088	23100
1.50397	23100	23112
1.51577	23112	23124
1.54173	23124	23136
1.56769	23136	23148
1.57241	23148	23160
1.57713	23160	23172
1.58185	23172	23184
1.58657	23184	23196
1.59129	23196	23208
1.59601	23208	23220
1.60094	23220	23232
1.61944	23232	23244
1.63334	23244	23256
1.63806	23256	23268
1.64278	23268	23280
1.6475	23280	23292
1.6711	23292	23304
1.68998	23304	23316
1.6947	23316	23328
1.69942	23328	23340
1.70414	23340	23352
1.70886	23352	23364
1.72774	23364	23376
1.76078	23376	23388
1.79618	23388	23400
1.8009	23400	23412
1.80562	23412	23424
1.81034	23424	23436
1.81506	23436	23448
1.81978	23448	23460
1.8245	23460	23472
1.82922	23472	23484
1.85282	23484	23496
1.8717	23496	23508
1.87642	23508	23520
1.88114	23520	23532
1.88586	23532	23544
1.9189	23544	23556
1.94486	23556	23568
1.94958	23568	23580
1.9543	23580	23592
1.95902	23592	23604
1.96374	23604	23616
1.98262	23616	23628
2.01566	23628	23640
2.0487	23640	23652
2.05342	23652	23664
2.05814	23664	23676
2.06286	23676	23688
2.06758	23688	23700
2.0723	23700	23712
2.07702	23712	23724
2.0841	23724	23736
2.11242	23736	23748
2.1313	23748	23760
2.13602	23760	23772
2.1431	23772	23784
2.16906	23784	23796
2.18322	23796	23808
2.20446	23808	23820
2.20918	23820	23832
2.21626	23832	23844
2.2257	23844	23856
2.25166	23856	23868
2.25638	23868	23880
2.27054	23880	23892
2.28942	23892	23904
2.31066	23904	23916
2.32246	23916	23928
2.32718	23928	23940
2.33662	23940	23952
2.3555	23952	23963
2.37202	23963	23974
2.38854	23974	23985
2.39326	23985	23996
2.41686	23996	24007
2.43108	24007	23048
2.54206	23048	22512
2.58932	22512	21976
2.63652	21976	21708
2.63888	21708	21440
2.64124	21440	20636
2.66248	20636	20368
2.66484	20368	20100
2.68372	20100	19832
2.68608	19832	19564
2.68844	19564	18760
2.70968	18760	18492
2.71204	18492	18224
2.7144	18224	17956
2.73564	17956	17688
2.738	17688	17420
2.75688	17420	16616
2.75924	16616	16348
2.7616	16348	16080
2.78284	16080	15812
2.7852	15812	15544
2.80408	15544	15276
2.80644	15276	14472
2.8088	14472	13668
2.83004	13668	13400
2.8324	13400	13132
2.85364	13132	12864
2.856	12864	12596
2.85836	12596	11256
3.78284	11256	536
4.20514	536	1072
4.31194	1072	1608
4.42522	1608	2144
4.54558	2144	2680
4.5503	2680	3216
4.67302	3216	3752
4.67774	3752	4288
4.68246	4288	4824
4.80282	4824	5360
4.80754	5360	5896
4.80754	5896	5944
4.81226	5944	5992
4.81698	5992	6039
4.94206	6039	6086
4.94678	6086	6133
4.9515	6133	6179
4.95622	6179	6225
4.96094	6225	6271
5.09074	6271	6316
5.09546	6316	6361
5.10018	6361	6406
5.1049	6406	6450
