1.01884	0	5360
1.04156	5360	5896
1.04628	5896	6432
1.051	6432	6968
1.05572	6968	7504
1.06044	7504	8040
1.06516	8040	8576
1.06988	8576	9112
1.0746	9112	9648
1.07932	9648	10184
1.08404	10184	10720
1.08876	10720	11256
1.09348	11256	11792
1.0982	11792	12328
1.10292	12328	12864
1.10764	12864	13400
1.11236	13400	13936
1.11708	13936	14472
1.1218	14472	15008
1.12652	15008	15544
1.13124	15544	16080
1.13596	16080	16616
1.14068	16616	17152
1.1454	17152	17688
1.15012	17688	18224
1.15507	18224	18760
1.15979	18760	19296
1.16451	19296	19832
1.16923	19832	20368
1.17395	20368	20904
1.17867	20904	21440
1.18339	21440	21976
1.18811	21976	22512
1.19283	22512	23048
1.19755	23048	23584
1.20227	23584	24120
1.20699	24120	24656
1.21171	24656	25192
1.21643	25192	25728
1.22115	25728	26264
1.22609	26264	26800
1.23317	26800	27336
1.2493	27336	27872
1.26321	27872	28408
1.26793	28408	28944
1.27265	28944	29480
1.27737	29480	30016
1.28209	30016	30552
1.28681	30552	31088
1.29153	31088	31624
1.29625	31624	32160
1.30097	32160	32696
1.30569	32696	33232
1.31041	33232	33768
1.31513	33768	34304
1.31985	34304	34840
1.3248	34840	35376
1.32952	35376	35912
1.33424	35912	36448
1.33896	36448	36984
1.34368	36984	37520
1.3484	37520	38056
1.35312	38056	38592
1.35784	38592	39128
1.36256	39128	39664
1.36728	39664	40200
1.37672	40200	40736
1.3956	40736	41272
1.40032	41272	41808
1.4192	41808	42344
1.42392	42344	42880
1.42864	42880	43416
1.43336	43416	43952
1.43808	43952	44488
1.4428	44488	45024
1.44752	45024	45560
1.45224	45560	46096
1.45696	46096	46632
1.46168	46632	47168
1.4664	47168	47704
1.47112	47704	48240
1.47607	48240	48776
1.48079	48776	49312
1.48551	49312	49848
1.49023	49848	50384
1.49495	50384	50920
1.49967	50920	51456
1.50461	51456	51992
1.51392	51992	52528
1.52323	52528	53064
1.53713	53064	53600
1.54645	53600	54136
1.55117	54136	54672
1.55589	54672	55208
1.56061	55208	55744
1.56533	55744	56280
1.57005	56280	56816
1.57477	56816	57352
1.57949	57352	57888
1.58421	57888	58424
1.58893	58424	58960
1.59365	58960	59496
1.59837	59496	60032
1.61017	60032	60568
1.61489	60568	61104
1.64085	61104	61640
1.64557	61640	62176
1.65029	62176	62712
1.67625	62712	63248
1.68097	63248	63784
1.68569	63784	64320
1.69041	64320	64856
1.69513	64856	65392
1.69985	65392	65928
1.70457	65928	66464
1.70929	66464	67000
1.71401	67000	67536
1.71873	67536	68072
1.72345	68072	68608
1.74216	68608	69144
1.74688	69144	69680
1.75619	69680	70216
1.77022	70216	70752
1.7773	70752	71288
1.78202	71288	71824
1.80096	71824	71288
1.90486	71288	70752
1.9592	70752	70216
2.02056	70216	69680
2.06068	69680	69144
2.11024	69144	68608
2.1362	68608	68340
2.15036	68340	68072
2.15272	68072	67268
2.1598	67268	67000
2.16216	67000	66732
2.16452	66732	66464
2.17396	66464	66196
2.17632	66196	65928
2.1834	65928	65124
2.18576	65124	64856
2.18812	64856	64588
2.19756	64588	64320
2.19992	64320	64052
2.207	64052	63784
2.20936	63784	63516
2.21172	63516	62712
2.22116	62712	62444
2.22824	62444	62176
2.23532	62176	61908
2.23768	61908	61640
2.24004	61640	61372
2.25656	61372	61104
2.25892	61104	60300
2.28252	60300	60032
2.28488	60032	59764
2.28724	59764	58960
2.30612	58960	58692
2.30848	58692	58424
2.31084	58424	57620
2.33208	57620	57352
2.33444	57352	57084
2.35332	57084	56280
2.35568	56280	56012
2.35804	56012	55744
2.37928	55744	55476
2.38164	55476	54672
2.40052	54672	54404
2.40288	54404	54136
2.40524	54136	53332
2.42412	53332	53064
2.42648	53064	52796
2.44064	52796	51992
2.443	51992	51724
2.44536	51724	50920
2.45952	50920	50652
2.46188	50652	50384
2.4784	50384	49580
2.48076	49580	49312
2.48312	49312	49044
2.50436	49044	48776
2.50672	48776	48508
2.51616	48508	47704
2.5374	47704	46900
2.53976	46900	46632
2.55864	46632	45828
2.561	45828	45560
2.56336	45560	44756
2.5846	44756	44488
2.58696	44488	44220
2.60584	44220	43416
2.6082	43416	43148
2.61056	43148	42344
2.6318	42344	42076
2.63416	42076	41808
2.65304	41808	41004
2.6554	41004	40200
2.65776	40200	39396
2.67428	39396	39128
2.67664	39128	38860
2.69316	38860	38592
2.69788	38592	37788
2.70024	37788	36984
2.72148	36984	36716
2.72384	36716	36448
2.7262	36448	35376
3.50436	35376	536
3.62631	536	1072
3.72071	1072	1608
3.72307	1608	2144
