0.5	0
1	0
1.5	1.70406
2	1.39277
2.5	1.0377
3	1.64659
3.5	1.24352
4	3.74208
4.5	1.81811
5	1.81811
5.5	1.80954
6	1.81811
6.5	1.81811
7	1.81811
7.5	1.81811
8	1.81811
8.5	1.81811
9	1.81811
9.5	1.80954
10	1.48365
10.5	2.15258
11	1.81811
11.5	1.81811
12	1.81811
12.5	1.81811
13	1.80954
13.5	1.81811
14	1.81811
14.5	1.81811
15	1.72378
15.5	1.7152
16	2.01536
16.5	1.81811
17	1.80954
17.5	1.81811
18	1.81811
18.5	1.47507
19	2.16115
19.5	1.81811
20	1.81811
20.5	1.80954
21	1.81811
21.5	1.81811
22	1.81811
22.5	1.81811
23	1.81811
23.5	1.47507
24	2.15258
24.5	1.81811
25	1.81811
25.5	1.81811
26	1.66374
26.5	1.97248
27	1.81811
27.5	1.81811
28	1.80954
28.5	1.81811
29	1.81811
29.5	1.81811
30	1.81811
