0.5	0
1	0
1.5	1.7015
2	1.81555
2.5	1.38931
3	1.45792
3.5	1.74093
4	2.65856
4.5	1.81811
5	1.81811
5.5	1.81811
6	1.81811
6.5	1.81811
7	1.80954
7.5	1.81811
8	1.81811
8.5	1.81811
9	1.81811
9.5	1.81811
10	1.81811
10.5	1.81811
11	1.80954
11.5	1.52653
12	2.1097
12.5	1.81811
13	1.81811
13.5	1.81811
14	1.81811
14.5	1.80954
15	1.81811
15.5	1.7495
16	1.88672
16.5	1.81811
17	1.81811
17.5	1.81811
18	1.81811
18.5	1.80954
19	1.64659
19.5	1.98963
20	1.81811
20.5	1.81811
21	1.81811
21.5	1.81811
22	1.80954
22.5	1.81811
23	1.81811
23.5	1.81811
24	1.62944
24.5	1.99821
25	1.81811
25.5	1.80954
26	1.81811
26.5	1.81811
27	1.81811
27.5	1.81811
28	1.81811
28.5	1.81811
29	1.81811
29.5	1.63802
30	1.98963
