,ER=0.2,ER=0.4,ER=0.6,ER=0.8,ER=1.0
RngRun1=20,0.0,0.0,0.0,0.0,0.0
RngRun2=21,0.0,0.0,0.0,0.0,0.0
RngRun3=22,0.0,0.0,0.0,0.0,0.0
RngRun4=23,0.0,0.0,0.0,0.0,0.0
RngRun5=24,0.0,0.0,0.0,0.0,0.0
RngRun6=25,0.0,0.0,0.0,0.0,0.0
RngRun7=26,0.0,0.0,0.0,0.0,0.0
RngRun8=27,0.0,0.0,0.0,0.0,0.0
RngRun9=28,0.0,0.0,0.0,0.0,0.0
RngRun10=29,0.0,0.0,0.0,0.0,0.0
AVG. PDR,0.0,0.0,0.0,0.0,0.0
